auq1,AUQ,alara uranium limited
aus1,AUS,austmin gold n.l.
aus2,AUS,auselect limited
aut1,AUT,austech ventures limited
auv2,AUV,australis mining corporation limited
auw1,AUW,australian wealth management limited
avb1,AVB,avanco resources limited
avc2,AVC,australian visual communications limited
avc2,RCI,rocklands richfield limited
avc2,RCI,rocklands richfield pci limited
avd1,AVD,advance energy limited
ave1,AVE,aevum limited
avg1,AVG,australian vintage limited
avi1,AVI,advent international investment limited
avi2,AVI,avalon minerals limited
avj1,AVJ,avjennings homes limited
avj1,AVJ,avjennings limited
avj1,LHS,long homes limited
avl1,AVL,anvil mining nl
avl1,AVM,anvil mining limited
avl1,KKN,kkr resources nl
avo1,AVO,avoca resources limited
avp1,AVP,alluvial prospectors limited
avq1,AVQ,axiom mining limited
avr1,AVR,avatar industries limited
avr1,BAI,barrack industries limited
avs1,AVS,avastra ltd
avs1,AVS,avastra sleep centres limited
avu1,AVU,australian value funds management limited.
avu1,AVU,avfm ltd
avu1,PFG,prime financial group limited
avx1,AVX,avexa limited
avz1,AVZ,avonlea minerals limited
awa1,AWA,awa limited
awb1,AWB,awb limited
awe1,AWE,australian worldwide exploration limited
awe1,AWE,australian worldwide exploration nl
awg1,AWG,aust - wide group limited
awg2,AWG,austral waste group limited
awg2,TTA,tta holdings limited
awh1,AWH,australian wine & horticulture fund
awh1,IWI,international wine investment fund (the)
awi1,AGT,agt biosciences ltd
awi1,AGT,autogen limited
awi1,AWI,australia wide industries limited
awi1,CXS,chemgenex pharmaceuticals ltd
awm1,AWM,afro-west mining limited
awp2,AWP,arrow pharmaceuticals limited
awp2,SIP,sigma pharmaceuticals limited
axc1,AXC,axg mining limited
axd1,AXD,alexander resources limited
axd1,CGT,castlemaine goldfields limited
axe1,AXE,archer exploration limited
axi1,AXI,axiom properties limited
axm2,AXM,apex minerals nl
axo1,AXO,aurox resources limited
axq1,AXQ,allco max securities and mortgage trust
axr1,AXR,amx resources limited
axr1,AXR,amx resources nl
axr1,SOU,southpointe limited
axr1,TRD,third rail limited
axr1,XBL,xceed biotechnology ltd
axr1,XBL,xceed capital limited
axr1,XCD,xceed capital limited.
axt1,AXT,argo exploration limited
axy1,AXY,atom energy limited
axz1,AXZ,amex resources limited
ayf1,AYF,australian enhanced income fund
ayo1,AYO,amity oil limited
ayo1,AYO,amity oil nl
